T,E_mean,E_std,Rg_back_mean,Rg_back_std,Rg_full_mean,Rg_full_std,HH_mean,HH_std
0.1,-4.5,0.0,2.981,0.015556349186103902,2.981,0.015556349186103902,34.5,0.7071067811865476
0.42222222222222217,-1.158,1.3562308063157982,3.4125,0.2835498192558054,3.4125,0.2835498192558054,33.0,1.4142135623730951
0.7444444444444444,0.325,0.3846660889654818,3.758,0.039597979746446695,3.758,0.039597979746446695,24.0,4.242640687119285
1.0666666666666667,0.7765,0.12374368670764585,3.797,0.016970562748477157,3.797,0.016970562748477157,24.5,0.7071067811865476
1.3888888888888888,0.8665,0.02616295090390228,3.753,0.08909545442950491,3.753,0.08909545442950491,23.5,2.1213203435596424
1.711111111111111,0.5589999999999999,0.08202438661763951,3.685,0.03535533905932725,3.685,0.03535533905932725,22.5,2.1213203435596424
2.033333333333333,-9.784,0.8117585848021563,3.375,0.007071067811865324,3.375,0.007071067811865324,28.0,1.4142135623730951
2.3555555555555556,-25.683,4.228498551495552,3.18,0.06222539674441624,3.18,0.06222539674441624,34.5,3.5355339059327378
2.6777777777777776,-21.9185,3.15440335087319,3.2355,0.05586143571373707,3.2355,0.05586143571373707,33.5,2.1213203435596424
3.0,-18.5055,1.3710800487207158,3.3129999999999997,0.02969848480983518,3.3129999999999997,0.02969848480983518,32.0,0.0
